Имя;цена
SCPL;339.95
RUSHIL;292.55
CONCOR;862.45
ADORWELD;1,385.30
HAPPSTMNDS;785.15
SOBHA;1,268.00
SRHHYPOLTD;482.25
AEROFLEX;116.55
MURUDCERA;43.35
SHILPAMED;405.35
VETO;110.40
SASTASUNDR;287.15
KBCGLOBAL;1.85
SUNTV;585.75
GOODLUCK;788.90
CELLO;723.40
BASML;38.25
TRIVENI;307.80
BCLIND;53.30
TATAPOWER;371.95
TEXRAIL;145.10
CROMPTON;277.15
EVERESTIND;1,091.20
SFL;948.70
GOLDENTOBC;52.15
KALYANIFRG;435.70
SCHAEFFLER;2,769.40
DODLA;819.55
FLFL;2.45
AJANTPHARM;2,110.70
THOMASCOOK;142.75
IFGLEXPOR;482.10
MRO-TEK;58.05
IDEA;12.40
SICALLOG;190.50
GANDHITUBE;683.90
ASTRON;23.60
MANGLMCEM;652.35
HESTERBIO;1,305.30
WEWIN;64.75
PTL;38.05
MAHLOG;394.55
SMLISUZU;1,779.55
GICRE;317.40
OIL;573.80
LGBBROSLTD;1,120.75
VERANDA;180.00
MANALIPETC;57.90
BEARDSELL;35.60
ALLCARGO;69.10
LINDEINDIA;6,057.95
SITINET;0.65
EMKAY;112.30
EPIGRAL;969.35
GANESHBE;169.90
SOLARINDS;7,346.25
INDOTECH;847.70
BAJFINANCE;6,456.15
SAFARI;1,711.55
ABSLAMC;471.75
AVTNPL;82.25
TFL;9.50
INDIGOPNTS;1,308.65
FINCABLES;844.10
HIL;2,686.30
FINEORG;4,100.05
NH;1,187.60
MCDOWELL-N;1,109.25
HATSUN;1,103.00
ASIANPAINT;2,860.00
HGINFRA;875.90
KSL;856.00
GLS;688.25
PARAS;624.50
JSL;618.70
GNFC;598.00
UPL;451.85
PDSL;447.90
CHEMBOND;447.00
IGL;407.50
VSTTILLERS;3,025.05
EVEREADY;323.70
STERTOOLS;322.25
MCX;3,210.10
SESHAPAPER;304.50
ICIL;294.75
BASF;3,163.00
TNPL;250.20
RALLIS;240.60
DMART;3,966.95
FINPIPE;207.25
KIRLOSBROS;992.25
CASTROLIND;191.50
KARURVYSYA;170.15
IRBINVIT;67.15
APLAPOLLO;1,492.00
RAMCOCEM;790.00
LINC;466.00
RAILTEL;308.15
TAJGVK;303.90
SIS;446.95
SURYODAY;147.10
TATASTEEL;143.60
AHL;277.00
MUTHOOTFIN;1,350.00
PETRONET;263.65
JBCHEPHARM;1,550.95
VEDL;251.80
RUCHIRA;114.20
SBICARD;685.00
LALPATHLAB;2,011.00
RSYSTEMS;434.95
RBL;652.00
KPRMILL;759.95
LAOPALA;302.75
MANGCHEFER;100.90
BIKAJI;502.95
SUNTECK;399.70
RAMCOIND;197.50
SOMANYCERA;570.50
GATEWAY;93.65
YATHARTH;374.00
SILINV;462.00
NAHARSPING;274.65
AUROPHARMA;1,005.00
GOLDIAM;167.40
JIOFIN;328.00
SKFINDIA;4,090.00
GMMPFAUDLR;1,270.00
HCG;315.00
MHRIL;378.75
KTKBANK;226.60
TVSSCS;149.80
SBGLP;744.95
SYNGENE;670.00
MAZDOCK;1,857.70
KEI;3,003.50
BRITANNIA;4,853.25
PIXTRANS;1,268.00
KOLTEPATIL;415.45
ORISSAMINE;5,690.00
GUJGASLTD;528.00
GESHIP;909.00
POLYMED;1,395.00
PIDILITIND;2,820.95
INDIGO;3,110.00
IOLCP;354.05
ITI;233.55
CREDITACC;1,310.00
ACC;2,387.00
ORIENTHOT;113.45
IOB;56.50
NILKAMAL;1,779.75
ALLSEC;714.45
POWERGRID;264.05
GRPLTD;5,500.00
NITINSPIN;304.55
TARSONS;405.00
SUPRAJIT;399.75
CEATLTD;2,494.75
SENCO;711.75
BLUESTARCO;1,265.45
EPL;183.65
EQUITASBNK;91.50
PFIZER;4,262.25
RECLTD;448.00
MOIL;265.60
BORORENEW;483.90
TIIL;1,583.90
VIPIND;469.75
ITC;421.95
JSWSTEEL;792.00
SHIVAMILLS;83.00
SYRMA;456.00
KRISHANA;247.80
GUFICBIO;283.00
ASTRAMICRO;521.00
ABFRL;200.10
MOL;78.00
JINDRILL;539.90
IDBI;76.60
JKPAPER;341.60
DEVYANI;147.65
SBFC;73.25
TANLA;803.40
LOVABLE;109.50
RELIGARE;217.45
BIOCON;252.50
GOKUL;36.00
MFSL;950.60
MINDTECK;171.80
LAURUSLABS;400.00
DCMSHRIRAM;861.85
RKSWAMY;232.00
PFC;397.00
M&MFIN;264.00
MTNL;32.80
GLAND;1,688.00
PIIND;3,575.05
AMBER;3,549.00
PANAMAPET;304.00
GREENLAM;451.45
RADHIKAJWE;58.35
CONFIPET;85.00
AVANTIFEED;475.00
KAJARIACER;1,200.05
INDIANB;500.30
KMSUGAR;27.65
VINDHYATEL;2,009.00
CENTRALBK;54.00
MOLDTKPAC;802.85
KESORAMIND;160.50
AXISCADES;503.85
CAMS;2,739.60
LTIM;5,184.95
RIIL;1,176.75
AFFLE;1,020.00
SUTLEJTEX;51.00
ADVANIHOTR;149.95
TVSSRICHAK;3,933.40
VAIBHAVGBL;359.50
MUKANDLTD;143.00
COLPAL;2,566.95
NAVINFLUOR;2,918.05
BHEL;224.80
RICOAUTO;110.70
CONCORDBIO;1,370.00
JSWENERGY;460.00
PRAKASH;131.00
LUXIND;1,114.00
NEULANDLAB;5,630.00
ZENSARTECH;523.95
NETWORK18;82.95
MAZDA;1,140.00
REFEX;620.00
AIAENG;3,621.00
KRBL;283.95
VSTIND;3,539.95
COROMANDEL;1,074.00
XPROINDIA;1,030.05
SULA;505.00
STLTECH;116.50
FACT;591.85
ICICIPRULI;572.05
ABCAPITAL;170.95
KOTAKBANK;1,725.00
NELCO;698.80
MANGALAM;93.80
SIGACHI;56.20
JUBLINGREA;427.30
JINDALSAW;390.00
MAXHEALTH;742.45
TIINDIA;3,446.00
INDOSTAR;185.05
SREEL;275.00
JMFINANCIL;73.00
SHRIRAMFIN;2,315.00
ESCORTS;2,705.30
SIRCA;301.00
CIPLA;1,467.10
HEG;1,722.40
IVP;153.00
CDSL;1,679.70
EMAMILTD;436.00
RAMRAT;250.90
TVSMOTOR;2,139.85
PNBHOUSING;610.00
GOCOLORS;1,026.30
AMJLAND;32.50
RUPA;240.00
INDHOTEL;543.00
TORNTPOWER;1,132.40
SJS;601.95
METROBRAND;1,038.00
SYMPHONY;828.00
KSCL;652.50
RUBYMILLS;186.00
GEPIL;247.00
ONMOBILE;61.70
ISFT;123.00
LT;3,527.05
SEAMECLTD;1,075.00
ACE;1,074.95
VISHWARAJ;15.00
HINDUNILVR;2,304.85
BANCOINDIA;520.00
HBLPOWER;400.05
AURUM;132.60
HUHTAMAKI;294.00
CGCL;204.25
UTTAMSUGAR;335.20
GODREJIND;756.05
ATGL;870.00
DRREDDY;6,282.00
SBILIFE;1,482.20
MUTHOOTCAP;281.00
HOMEFIRST;815.05
VBL;1,388.85
ICICIBANK;1,080.00
WINDMACHIN;68.05
CAPLIPOINT;1,267.00
CAPACITE;214.85
UNIPARTS;509.00
XELPMOC;107.00
OBEROIRLTY;1,295.00
HIKAL;266.80
MASTEK;2,610.05
GMRP&UI;39.90
PARKHOTELS;172.25
SJLOGISTIC;261.00
BANKBARODA;259.90
BBTCL;259.00
IMPAL;943.00
KAMOPAINTS;164.50
POLYCAB;4,760.00
TEXINFRA;87.40
L&TFH;147.00
TECHM;1,272.00
RELAXO;802.70
OFSS;8,000.00
GAIL;168.00
HARIOMPIPE;450.60
PITTIENG;681.05
BCONCEPTS;719.90
LTFOODS;161.90
SPIC;69.35
GVPTECH;11.55
MPHASIS;2,365.00
VESUVIUS;3,111.50
GODREJAGRO;490.00
ROSSELLIND;349.70
SONATSOFTW;737.00
ORCHPHARMA;970.00
OLECTRA;1,582.95
